Neispravan redak 10 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_ulice.txt.
Neispravan redak 4 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_spremnici.txt.
Neispravan redak 8 u datoteci ..\..\datoteke_podataka\dz2\DZ_2_podrucja.txt.

ISPIS PRIDRUZENE KOLICINE OTPADA ZA KORISNIKE
|   ID|     Kategorija|       Bio|     Metal|   Mjesano|     Papir|    Staklo|                         Ulica|
|    1|           Mali|       7,7|      1,67|     17,61|      4,22|      6,29|                  u1 Pavlinska|
|    2|           Mali|      1,81|      2,55|     15,45|       2,4|      4,03|                  u1 Pavlinska|
|    3|           Mali|      4,67|       1,6|     19,19|      0,78|      3,41|                  u1 Pavlinska|
|    4|           Mali|      1,14|      2,58|      4,08|      1,77|      3,45|                  u1 Pavlinska|
|    5|           Mali|      4,26|      2,82|     24,38|      0,99|      6,66|                  u1 Pavlinska|
|    6|           Mali|      4,86|      2,52|     14,18|      2,67|      0,98|                  u1 Pavlinska|
|    7|           Mali|      1,22|      2,81|       5,8|      3,52|      5,07|                  u1 Pavlinska|
|    8|        Srednji|     43,09|      1,52|     58,69|     11,47|      6,24|                  u1 Pavlinska|
|    9|        Srednji|     25,02|      1,61|     66,87|      5,74|      16,7|                  u1 Pavlinska|
|   10|         Veliki|    230,23|     12,66|    157,73|     61,14|     29,41|                  u1 Pavlinska|
|   11|           Mali|      1,14|      2,17|     22,83|      3,13|      2,18|          u2 Alojzija Stepinca|
|   12|           Mali|      9,58|       0,7|      16,4|      4,51|      5,61|          u2 Alojzija Stepinca|
|   13|           Mali|      7,08|       1,4|     23,75|       3,2|      0,99|          u2 Alojzija Stepinca|
|   14|           Mali|      3,74|      1,53|     15,41|       1,1|      5,49|          u2 Alojzija Stepinca|
|   15|           Mali|      5,79|      0,35|      9,65|      1,18|      5,31|          u2 Alojzija Stepinca|
|   16|           Mali|      7,99|      1,81|     13,27|      4,81|      5,22|          u2 Alojzija Stepinca|
|   17|           Mali|      1,95|      2,83|      7,84|      1,89|      6,31|          u2 Alojzija Stepinca|
|   18|           Mali|      3,62|      2,77|     11,76|       4,9|      1,39|          u2 Alojzija Stepinca|
|   19|           Mali|      3,98|      0,78|     14,83|      3,02|      2,26|          u2 Alojzija Stepinca|
|   20|           Mali|      6,46|      1,58|     25,29|       4,2|      1,92|          u2 Alojzija Stepinca|
|   21|           Mali|      4,85|      2,65|     18,96|      3,64|      2,46|          u2 Alojzija Stepinca|
|   22|           Mali|      7,92|      0,73|      3,47|      3,05|      1,23|          u2 Alojzija Stepinca|
|   23|           Mali|      6,15|       1,3|     19,35|         2|      5,88|          u2 Alojzija Stepinca|
|   24|           Mali|      5,47|      1,11|     20,79|      3,49|      5,35|          u2 Alojzija Stepinca|
|   25|           Mali|      9,82|      0,75|      8,71|      1,48|      5,62|          u2 Alojzija Stepinca|
|   26|           Mali|      1,84|      2,15|      4,41|      4,88|      1,78|         u3 Petra Krešimira IV|
|   27|           Mali|      9,56|      2,87|      5,74|      2,67|      6,34|         u3 Petra Krešimira IV|
|   28|           Mali|      5,63|      1,67|      5,59|      2,47|      1,91|         u3 Petra Krešimira IV|
|   29|           Mali|      3,46|      0,69|     16,56|      4,19|      4,12|         u3 Petra Krešimira IV|
|   30|           Mali|      7,52|      1,93|     21,92|      1,35|      6,47|         u3 Petra Krešimira IV|
|   31|           Mali|      9,53|      2,94|       4,2|      2,85|      4,04|         u3 Petra Krešimira IV|
|   32|           Mali|      2,94|       2,7|     14,33|       2,9|      1,08|         u3 Petra Krešimira IV|
|   33|           Mali|      7,46|      0,48|       6,3|      4,46|      1,39|         u3 Petra Krešimira IV|
|   34|           Mali|      5,24|      1,43|     14,15|      2,21|      2,84|         u3 Petra Krešimira IV|
|   35|           Mali|      4,61|      2,42|      6,15|       1,2|      2,58|         u3 Petra Krešimira IV|
|   36|           Mali|       5,3|      2,71|        11|      0,83|      6,76|         u3 Petra Krešimira IV|
|   37|           Mali|      4,54|      2,89|     17,09|      2,16|      6,89|         u3 Petra Krešimira IV|
|   38|           Mali|      9,16|      0,31|      4,11|      2,76|      3,06|         u3 Petra Krešimira IV|
|   39|           Mali|      1,85|      1,09|     29,63|      2,97|      4,86|         u3 Petra Krešimira IV|
|   40|           Mali|      2,36|      1,45|      7,37|      3,89|      4,87|         u3 Petra Krešimira IV|
|   41|           Mali|      3,81|      0,66|     13,85|      3,97|      4,07|         u3 Petra Krešimira IV|
|   42|           Mali|      8,48|      1,86|      5,22|      3,81|      3,06|         u3 Petra Krešimira IV|
|   43|           Mali|      9,27|      1,41|     14,81|      3,38|      6,91|         u3 Petra Krešimira IV|
|   44|           Mali|      2,76|      2,12|      23,2|      4,64|      5,37|         u3 Petra Krešimira IV|
|   45|        Srednji|      27,2|      3,05|     80,25|      7,52|      17,4|         u3 Petra Krešimira IV|
|   46|        Srednji|     26,57|      3,76|     56,42|     13,35|     16,01|         u3 Petra Krešimira IV|
|   47|        Srednji|     22,63|      3,96|     80,95|     10,77|      7,35|         u3 Petra Krešimira IV|
|   48|        Srednji|     49,65|       3,6|     31,72|      5,82|      7,38|         u3 Petra Krešimira IV|
|   49|        Srednji|     42,98|      1,69|     24,42|      14,1|     14,22|         u3 Petra Krešimira IV|
|   50|        Srednji|      36,3|      2,49|     39,64|      4,64|       4,3|         u3 Petra Krešimira IV|
|   51|        Srednji|     26,11|      1,93|     45,98|      3,96|     15,86|         u3 Petra Krešimira IV|
|   52|        Srednji|     32,36|      3,82|     72,11|       6,1|      6,53|         u3 Petra Krešimira IV|
|   53|        Srednji|     25,05|      1,66|     89,81|      3,53|     12,21|         u3 Petra Krešimira IV|
|   54|        Srednji|     16,29|      1,38|     38,09|      13,8|      9,42|         u3 Petra Krešimira IV|
|   55|        Srednji|     11,96|      3,73|     28,77|      6,25|     12,09|         u3 Petra Krešimira IV|
|   56|         Veliki|    140,56|     23,45|     244,2|     66,45|     46,94|         u3 Petra Krešimira IV|
|   57|         Veliki|    104,53|       9,7|    239,89|     96,34|     36,47|         u3 Petra Krešimira IV|
|   58|         Veliki|    248,43|      16,1|    216,86|     88,62|     19,55|         u3 Petra Krešimira IV|
|   59|         Veliki|    134,47|     10,89|    223,08|    100,75|     48,35|         u3 Petra Krešimira IV|
|   60|         Veliki|    241,56|     25,72|    240,45|    124,88|     35,81|         u3 Petra Krešimira IV|
|   61|         Veliki|     150,5|     13,54|    245,35|     49,28|     19,14|         u3 Petra Krešimira IV|
|   62|         Veliki|    126,31|     12,84|    176,57|     86,75|     31,47|         u3 Petra Krešimira IV|
|   63|           Mali|      8,42|      1,19|      4,02|      3,07|      6,71|      u4 Zrinskih i Frankopana|
|   64|           Mali|      6,96|      2,99|     23,05|      0,55|      0,85|      u4 Zrinskih i Frankopana|
|   65|           Mali|      5,98|      0,58|     10,37|      3,03|      6,52|      u4 Zrinskih i Frankopana|
|   66|           Mali|      4,74|      1,22|      16,9|      1,31|      6,84|      u4 Zrinskih i Frankopana|
|   67|           Mali|      6,92|      2,29|     19,63|      2,34|      1,66|      u4 Zrinskih i Frankopana|
|   68|           Mali|      4,86|      1,93|      9,57|      1,73|      4,31|      u4 Zrinskih i Frankopana|
|   69|           Mali|      6,21|      0,42|     20,56|      1,55|      5,31|      u4 Zrinskih i Frankopana|
|   70|           Mali|      3,72|      1,02|     19,46|      1,41|      3,11|      u4 Zrinskih i Frankopana|
|   71|           Mali|      2,88|      0,66|     24,41|      3,94|      4,38|      u4 Zrinskih i Frankopana|
|   72|           Mali|      2,42|      2,09|     23,65|      4,71|       4,2|      u4 Zrinskih i Frankopana|
|   73|           Mali|         8|      2,37|     10,03|      0,75|      2,53|      u4 Zrinskih i Frankopana|
|   74|        Srednji|     18,35|      3,68|     57,22|     13,01|     12,73|      u4 Zrinskih i Frankopana|
|   75|        Srednji|     26,77|      3,27|     20,84|       7,9|     16,02|      u4 Zrinskih i Frankopana|
|   76|        Srednji|     46,11|       3,1|     91,24|      9,21|     15,05|      u4 Zrinskih i Frankopana|
|   77|        Srednji|     42,22|      1,16|     94,47|     13,99|     16,37|      u4 Zrinskih i Frankopana|
|   78|        Srednji|     44,61|      3,11|     24,79|      6,29|     10,18|      u4 Zrinskih i Frankopana|
|   79|        Srednji|     36,56|      2,78|     96,27|     10,32|     14,19|      u4 Zrinskih i Frankopana|
|   80|        Srednji|     22,73|      2,07|      28,4|      8,58|     14,83|      u4 Zrinskih i Frankopana|
|   81|        Srednji|     43,47|      1,23|     88,69|      9,37|     12,78|      u4 Zrinskih i Frankopana|
|   82|         Veliki|    109,73|     24,01|    111,47|     65,92|     21,15|      u4 Zrinskih i Frankopana|
|   83|         Veliki|    121,87|     24,96|    298,26|        88|     16,34|      u4 Zrinskih i Frankopana|
|   84|         Veliki|     223,3|      29,2|    273,61|      46,6|      28,1|      u4 Zrinskih i Frankopana|
|   85|         Veliki|    101,06|     25,92|    263,94|     77,22|      24,5|      u4 Zrinskih i Frankopana|
|   86|         Veliki|    156,52|     27,95|     160,1|    146,28|     19,94|      u4 Zrinskih i Frankopana|
|   87|         Veliki|    214,61|     13,37|    161,82|     71,38|      22,9|      u4 Zrinskih i Frankopana|
|   88|         Veliki|     240,7|     13,27|    248,57|    135,18|      23,5|      u4 Zrinskih i Frankopana|
|   89|         Veliki|    208,52|     15,91|     94,55|    103,75|     21,54|      u4 Zrinskih i Frankopana|
|   90|         Veliki|    192,65|      12,7|     211,6|    134,22|     22,96|      u4 Zrinskih i Frankopana|
|   91|           Mali|         5|      1,43|      25,5|      2,76|      4,87|           u5 Krešimira Filića|
|   92|           Mali|      1,08|      2,75|     22,37|      3,76|      2,22|           u5 Krešimira Filića|
|   93|           Mali|      8,78|      0,97|     26,67|      1,84|      2,03|           u5 Krešimira Filića|
|   94|           Mali|      9,33|       2,9|     23,22|      1,41|      5,66|           u5 Krešimira Filića|
|   95|           Mali|      1,83|      0,34|     21,56|      4,15|      3,95|           u5 Krešimira Filića|
|   96|           Mali|      2,15|      0,42|     19,22|       4,9|      5,19|           u5 Krešimira Filića|
|   97|           Mali|      8,98|      0,92|     21,15|      4,05|      2,54|           u5 Krešimira Filića|
|   98|           Mali|      9,68|      2,36|      5,71|      4,24|      5,25|           u5 Krešimira Filića|
|   99|           Mali|      3,07|      0,83|     17,69|      4,78|      3,96|           u5 Krešimira Filića|
|  100|           Mali|      8,98|      1,55|      9,34|       1,9|      6,31|           u5 Krešimira Filića|
|  101|           Mali|      9,31|      0,98|      4,72|      4,49|      0,86|           u5 Krešimira Filića|
|  102|           Mali|      7,81|      1,18|      6,28|       2,7|      6,05|           u5 Krešimira Filića|
|  103|           Mali|      4,67|      2,41|      14,5|      3,57|      2,36|           u5 Krešimira Filića|
|  104|        Srednji|     17,69|      2,45|     32,31|       3,8|     10,76|           u5 Krešimira Filića|
|  105|        Srednji|     43,02|      4,99|     38,46|      8,25|     19,28|           u5 Krešimira Filića|
|  106|        Srednji|     31,93|      4,14|      83,8|      10,4|     13,03|           u5 Krešimira Filića|
|  107|        Srednji|      45,7|      1,63|     66,02|      9,17|     10,42|           u5 Krešimira Filića|
|  108|        Srednji|     42,93|      2,23|      85,8|      9,46|     10,47|           u5 Krešimira Filića|
|  109|        Srednji|     43,71|      1,03|     86,93|      9,06|      7,76|           u5 Krešimira Filića|
|  110|         Veliki|    215,63|     25,54|    115,52|     62,93|     44,28|           u5 Krešimira Filića|
|  111|         Veliki|     203,2|     14,71|    148,76|     144,6|      43,8|           u5 Krešimira Filića|
|  112|         Veliki|     196,2|     17,92|    194,82|    138,38|     35,58|           u5 Krešimira Filića|
|  113|         Veliki|    242,85|     25,35|    241,23|    118,73|     23,16|           u5 Krešimira Filića|
|  114|         Veliki|    220,66|     27,64|     94,58|    100,13|     41,24|           u5 Krešimira Filića|
|  115|         Veliki|    139,74|     20,32|    283,01|    124,84|     45,94|           u5 Krešimira Filića|
|  116|         Veliki|    248,04|     12,26|    172,78|     90,21|     30,73|           u5 Krešimira Filića|
|  117|         Veliki|    149,69|     29,62|    294,65|    132,05|     28,78|           u5 Krešimira Filića|
|  118|         Veliki|    182,24|      17,9|    297,33|     70,41|     30,85|           u5 Krešimira Filića|
|  119|         Veliki|    131,71|      21,9|    213,73|     56,94|     33,02|           u5 Krešimira Filića|
|  120|         Veliki|     96,46|     10,01|    108,24|    121,33|     33,64|           u5 Krešimira Filića|
|  121|         Veliki|    211,81|     29,06|    139,87|     74,71|      25,9|           u5 Krešimira Filića|
|  122|         Veliki|    217,36|     27,94|    264,37|     88,02|     17,19|           u5 Krešimira Filića|
|  123|           Mali|      3,69|      1,48|      5,85|       3,8|      1,69|               u6 Tina Ujevića|
|  124|           Mali|      9,86|      1,25|     10,22|      3,74|      3,25|               u6 Tina Ujevića|
|  125|           Mali|      8,61|      1,04|     16,69|      0,96|       3,9|               u6 Tina Ujevića|
